countrycode	countrycode2	countryname	i_long	incomelevel	numeric	r_long	region
LIE						eur	Europe
LKA						sas	South Asia
LSO						afr	Africa
LTU						eur	Europe
LUX						eur	Europe
LVA						eur	Europe
MAC						eas	East Asia
MAF						cam	Central America
MAR						afr	Africa
MCO						eur	Europe
MDA						eur	Europe
MDG						afr	Africa
MDV						sas	South Asia
MEX						noa	North America
MHL						aus	Oceania
MKD						eur	Europe
MLI						afr	Africa
MLT						eur	Europe
MMR						eas	East Asia
MNE						eur	Europe
MNG						eas	East Asia
MNP						aus	Oceania
MOZ						afr	Africa
MRT						afr	Africa
MSR						cam	Central America
MTQ							
MUS						afr	Africa
MWI						afr	Africa
MYS						eas	East Asia
MYT						afr	Africa
NAM						afr	Africa
NCL						aus	Oceania
NER						afr	Africa
NFK						aus	Oceania
NGA						afr	Africa
NIC						cam	Central America
NIU						aus	Oceania
NLD						eur	Europe
NOR						eur	Europe
NPL						sas	South Asia
NRU						aus	Oceania
NZL						aus	Oceania
OMN						mde	Middle East
PAK						sas	South Asia
PAN						cam	Central America
PCN						aus	Oceania
PER						soa	South America
PHL						eas	East Asia
PLW						aus	Oceania
PNG						eas	East Asia
POL						eur	Europe
PRI						cam	Central America
PRK						eas	East Asia
PRT						eur	Europe
PRY						soa	South America
PSE						mde	Middle East
PYF						aus	Oceania
QAT						mde	Middle East
REU							
ROM							
ROU						eur	Europe
RUS						cas	Central Asia
RWA						afr	Africa
SAU						mde	Middle East
SDN						afr	Africa
SEN						afr	Africa
SGP						eas	East Asia
SGS						soa	South America
SHN						afr	Africa
SJM						eur	Europe
SLB						aus	Oceania
SLE						afr	Africa
SLV						cam	Central America
SMR						eur	Europe
SOM						afr	Africa
SPM						noa	North America
SRB						eur	Europe
SSD						afr	Africa
STP						afr	Africa
SUR						soa	South America
SVK						eur	Europe
SVN						eur	Europe
SWE						eur	Europe
SWZ						afr	Africa
SXM							
SYC						afr	Africa
SYR						mde	Middle East
TAA							
TCA						cam	Central America
TCD						afr	Africa
TGO						afr	Africa
THA						eas	East Asia
TJK						cas	Central Asia
TKL						aus	Oceania
TKM						cas	Central Asia
TLS						eas	East Asia
TMP							
TON						aus	Oceania
TTO						cam	Central America
TUN						afr	Africa
TUR						mde	Middle East
TUV						aus	Oceania
TWN						eas	East Asia
TZA						afr	Africa
UGA						afr	Africa
UKR						eur	Europe
UMI							
URY						soa	South America
USA						noa	North America
UZB						cas	Central Asia
VAT						eur	Europe
VCT						cam	Central America
VEN						soa	South America
VGB						cam	Central America
VIR						cam	Central America
VNM						eas	East Asia
VUT						aus	Oceania
WBG							
WLF						aus	Oceania
WSM						aus	Oceania
XKK							
XKS						eur	Europe
YEM						mde	Middle East
ZAF						afr	Africa
ZAR							
ZMB						afr	Africa
ZWE						afr	Africa
ZZZ							
_EA							
_IC							
