type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia(Not)	LP_perc_World	IPop_rank	IPop_perc_Asia(Not)	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia(Not)	PPPGDP_perc_World	Language
mn_Cyrl	0.0022	0.0013	0.0524	357.5000	0.0001	0.0000	352.0000	0.0002	0.0000	352.0000	0.0001	0.0001	Mongolian (Cyrillic)
bqv	0.0409	0.0011	0.1109	291.0000	0.0026	0.0006	353.5000	0.0001	0.0000	339.0000	0.0003	0.0001	Koro Wachi
scs	0.0013	0.0011	0.0547	362.0000	0.0001	0.0000	353.5000	0.0001	0.0000	351.0000	0.0001	0.0001	North Slavey
nsk	0.0012	0.0010	0.0516	363.0000	0.0001	0.0000	355.0000	0.0001	0.0000	353.0000	0.0001	0.0001	Naskapi
rtm	0.0025	0.0009	0.0193	355.0000	0.0002	0.0000	356.0000	0.0001	0.0000	362.0000	0.0001	0.0000	Rotuman
uli	0.0029	0.0008	0.0091	352.0000	0.0002	0.0000	357.5000	0.0001	0.0000	369.0000	0.0000	0.0000	Ulithian
stq	0.0010	0.0008	0.0422	364.0000	0.0001	0.0000	357.5000	0.0001	0.0000	354.0000	0.0001	0.0000	Saterland Frisian
rug	0.0090	0.0007	0.0164	328.0000	0.0006	0.0001	360.0000	0.0001	0.0000	365.0000	0.0000	0.0000	Roviana
byn	0.0823	0.0007	0.0984	277.0000	0.0052	0.0012	360.0000	0.0001	0.0000	341.0000	0.0003	0.0001	Blin
chp	0.0008	0.0007	0.0334	365.5000	0.0001	0.0000	360.0000	0.0001	0.0000	355.0000	0.0001	0.0000	Chipewyan
saf	0.0041	0.0005	0.0165	347.5000	0.0003	0.0001	364.0000	0.0001	0.0000	364.0000	0.0000	0.0000	Safaliba
smn	0.0006	0.0005	0.0240	368.0000	0.0000	0.0000	364.0000	0.0001	0.0000	359.5000	0.0001	0.0000	Inari Sami
gwi	0.0006	0.0005	0.0243	368.0000	0.0000	0.0000	364.0000	0.0001	0.0000	358.0000	0.0001	0.0000	Gwichʼin
nmg	0.0086	0.0005	0.0245	329.0000	0.0005	0.0001	364.0000	0.0001	0.0000	357.0000	0.0001	0.0000	Kwasio
sms	0.0006	0.0005	0.0240	368.0000	0.0000	0.0000	364.0000	0.0001	0.0000	359.5000	0.0001	0.0000	Skolt Sami
sei	0.0008	0.0004	0.0144	365.5000	0.0001	0.0000	367.0000	0.0000	0.0000	366.0000	0.0000	0.0000	Seri
sma	0.0003	0.0003	0.0130	370.0000	0.0000	0.0000	368.0000	0.0000	0.0000	368.0000	0.0000	0.0000	Southern Sami
izh	0.0001	0.0001	0.0035	373.0000	0.0000	0.0000	371.0000	0.0000	0.0000	374.0000	0.0000	0.0000	Ingrian
yav	0.0022	0.0001	0.0062	357.5000	0.0001	0.0000	371.0000	0.0000	0.0000	371.0000	0.0000	0.0000	Yangben
tsd	0.0002	0.0001	0.0053	371.0000	0.0000	0.0000	371.0000	0.0000	0.0000	372.0000	0.0000	0.0000	Tsakonian
twq	0.0076	0.0001	0.0075	334.0000	0.0005	0.0001	371.0000	0.0000	0.0000	370.0000	0.0000	0.0000	Tasawaq
ia	0.0001	0.0001	0.0051	373.0000	0.0000	0.0000	371.0000	0.0000	0.0000	373.0000	0.0000	0.0000	Interlingua
aro	0.0001	0.0000	0.0007	373.0000	0.0000	0.0000	377.5000	0.0000	0.0000	375.0000	0.0000	0.0000	Araona
sgs	0.0000	0.0000	0.0000	378.0000	0.0000	0.0000	377.5000	0.0000	0.0000	379.0000	0.0000	0.0000	Samogitian
rgn	0.0000	0.0000	0.0000	378.0000	0.0000	0.0000	377.5000	0.0000	0.0000	379.0000	0.0000	0.0000	Romagnol
pfl	0.0000	0.0000	0.0000	378.0000	0.0000	0.0000	377.5000	0.0000	0.0000	379.0000	0.0000	0.0000	Palatine German
jut	0.0000	0.0000	0.0000	378.0000	0.0000	0.0000	377.5000	0.0000	0.0000	379.0000	0.0000	0.0000	Jutish
vot	0.0000	0.0000	0.0000	378.0000	0.0000	0.0000	377.5000	0.0000	0.0000	379.0000	0.0000	0.0000	Votic
cu	0.0000	0.0000	0.0000	378.0000	0.0000	0.0000	377.5000	0.0000	0.0000	379.0000	0.0000	0.0000	Church Slavic
vai_Latn	0.0000	0.0000	0.0000	378.0000	0.0000	0.0000	377.5000	0.0000	0.0000	379.0000	0.0000	0.0000	Vai (Latin)
aln													Gheg Albanian
buc													Bushi
ch													Chamorro
eo			0.0182							363.0000	0.0000	0.0000	Esperanto
fud													East Futuna
gcr													Guianese Creole French
la													Latin
ms_Arab													Malay (Arabic)
pap													Papiamento
rcf													Réunion Creole French
swb													Comorian
und													Unknown Language
vic													Virgin Islands Creole English
wls													Wallisian
